sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
F,18,LE3,T,1,1,other,other,mother,2,2,0,no,yes,yes,no,yes,no,4,4,3,1,1,3,2,11,11,11
F,18,GT3,T,4,4,other,teacher,father,3,2,0,no,yes,yes,no,yes,yes,3,2,2,4,2,5,10,14,12,11
M,17,GT3,T,3,3,health,other,mother,1,1,0,no,yes,yes,no,yes,yes,4,4,3,1,3,5,4,14,12,11
F,16,GT3,T,2,2,services,services,mother,2,4,0,no,yes,yes,yes,yes,yes,5,3,5,1,1,5,6,10,10,11
F,19,GT3,T,2,3,other,other,other,1,3,1,no,no,no,no,yes,yes,4,1,2,1,1,3,40,13,11,11
M,18,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,4,3,2,1,4,5,11,12,11,11
F,15,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,no,yes,yes,3,3,4,2,3,5,0,8,10,11
M,18,GT3,T,2,1,other,other,mother,1,2,0,no,no,no,yes,yes,yes,5,2,4,1,2,4,8,15,14,14
M,18,GT3,T,4,4,teacher,teacher,father,1,2,0,no,no,yes,yes,yes,yes,3,2,4,1,4,2,4,15,14,14
F,15,GT3,T,4,2,other,other,mother,1,3,0,no,yes,no,yes,yes,yes,5,3,3,1,3,1,4,13,14,14
F,16,LE3,T,4,3,teacher,services,mother,3,2,0,no,yes,no,yes,yes,yes,5,4,3,1,2,1,2,16,15,15
M,18,GT3,T,2,1,services,services,mother,1,3,0,no,no,yes,yes,yes,yes,4,2,4,1,3,2,6,15,14,14
M,18,LE3,A,4,4,teacher,teacher,mother,1,2,0,no,yes,yes,yes,yes,yes,5,4,3,1,1,2,9,15,13,15
F,16,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,no,yes,yes,yes,5,3,2,1,1,5,0,13,13,14
F,17,LE3,T,3,2,other,other,mother,2,2,0,no,no,yes,no,yes,yes,4,4,4,1,3,1,2,14,15,15
M,18,LE3,T,3,4,services,other,mother,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,3,5,11,16,15,15
F,18,LE3,T,4,4,other,other,mother,2,3,0,no,no,no,no,yes,yes,5,4,4,1,1,1,0,19,18,19
M,17,GT3,T,3,3,other,services,mother,1,1,0,no,no,no,yes,yes,yes,4,3,5,3,5,5,3,14,15,16
F,16,GT3,T,2,3,services,teacher,mother,1,2,0,yes,no,no,no,yes,yes,2,3,1,1,1,3,2,16,16,17
M,16,GT3,T,1,0,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,13,15,16
M,15,GT3,T,4,4,services,teacher,father,1,2,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,2,19,18,18
M,20,GT3,A,3,2,services,other,other,1,1,0,no,no,no,yes,yes,no,5,5,3,1,1,5,0,17,18,18
