sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
M,16,GT3,T,4,4,teacher,teacher,mother,1,2,0,0,1,1,1,1,1,4,4,5,5,5,5,16,10,12
M,15,GT3,T,4,4,health,services,mother,1,2,0,0,1,1,0,1,1,5,4,2,3,4,5,0,9,11
M,15,GT3,T,4,4,services,services,mother,2,2,0,0,1,0,1,1,1,4,3,1,1,1,5,0,17,16
M,15,GT3,T,4,3,teacher,at_home,mother,1,2,0,0,1,0,1,1,1,4,5,2,1,1,5,0,17,16
M,15,LE3,T,3,3,other,other,mother,1,2,0,0,0,0,1,1,1,5,3,2,1,1,2,0,8,10
M,16,GT3,T,3,2,other,other,mother,1,1,0,0,1,1,0,1,1,5,4,3,1,1,5,0,12,14
F,15,GT3,T,2,3,other,other,father,2,1,0,0,1,0,1,1,0,3,5,1,1,1,5,0,8,7
M,15,LE3,T,4,3,teacher,services,mother,1,3,0,0,1,0,1,1,1,5,4,3,1,1,4,2,15,16
M,16,GT3,A,4,4,other,teacher,mother,2,3,0,0,1,0,1,1,1,2,4,3,1,1,5,7,15,16
F,15,GT3,T,3,4,services,health,mother,1,3,0,1,1,1,1,1,1,4,3,2,1,1,5,2,12,12
F,15,GT3,T,2,2,at_home,other,mother,1,1,0,1,1,1,1,1,0,4,3,1,1,1,2,8,14,13
F,16,LE3,T,2,2,other,other,mother,2,2,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10
M,15,LE3,T,4,4,teacher,other,other,1,1,0,0,1,0,0,1,1,5,4,3,2,4,5,8,12,12
M,15,GT3,T,4,4,services,teacher,father,1,2,0,0,1,0,1,1,1,4,3,3,1,1,5,2,19,18
M,15,GT3,T,2,2,services,services,father,1,1,0,1,1,0,0,1,1,5,4,1,1,1,1,0,8,8
F,16,LE3,T,2,2,other,at_home,father,2,2,1,1,0,0,1,1,1,4,3,3,2,2,5,14,10,10
F,15,LE3,A,4,3,other,other,mother,1,2,0,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8
F,16,LE3,A,3,3,other,services,mother,1,2,0,0,1,0,0,1,1,2,3,5,1,4,3,12,11,12
M,16,GT3,T,4,3,health,services,mother,1,4,0,0,0,0,1,1,1,4,2,2,1,1,2,4,19,19
M,15,GT3,T,4,2,teacher,other,mother,1,2,0,0,1,1,0,1,0,4,3,3,2,2,5,2,15,15
F,15,GT3,T,4,4,services,teacher,father,1,2,1,1,1,0,1,1,1,4,4,4,1,1,3,2,7,7
F,16,LE3,T,2,2,services,services,mother,3,2,0,0,1,1,0,1,1,4,3,3,2,3,4,2,12,13
F,15,LE3,T,4,2,health,other,mother,1,2,0,0,1,1,0,1,1,4,3,3,1,1,5,2,11,13
M,15,LE3,A,4,2,health,health,father,2,1,1,0,0,0,0,1,0,5,5,5,3,4,5,6,11,11
F,15,GT3,T,4,4,services,services,mother,1,1,0,1,1,1,0,1,1,3,3,4,2,3,5,0,8,10
F,15,LE3,A,3,3,other,other,mother,1,1,0,0,0,1,0,1,1,5,3,4,4,4,1,6,10,13
F,16,GT3,A,2,1,other,other,mother,1,2,0,0,0,1,1,1,1,5,3,4,1,1,2,8,8,9
F,15,GT3,A,4,3,services,services,mother,1,2,0,0,1,1,1,1,1,4,3,2,1,1,1,0,14,15
M,15,GT3,T,4,4,teacher,health,mother,1,2,0,0,1,0,1,1,0,3,2,2,1,1,5,4,14,15
M,15,LE3,T,1,2,other,at_home,father,1,2,0,1,1,0,1,1,1,4,3,2,1,1,5,2,9,10
F,16,GT3,T,4,2,services,other,mother,1,2,0,0,1,0,0,1,1,4,2,3,1,1,5,2,15,16
F,16,GT3,T,4,4,health,teacher,mother,1,2,0,0,1,0,1,1,0,2,4,4,2,3,4,6,10,11
F,16,GT3,T,1,1,services,services,father,4,1,0,1,1,0,1,1,1,5,5,5,5,5,5,6,10,8
F,16,LE3,T,1,2,other,services,father,1,2,0,1,0,0,1,1,1,4,4,3,1,1,1,4,8,10
F,16,GT3,T,4,3,teacher,health,mother,1,3,0,1,1,1,1,1,1,3,4,4,2,4,4,2,10,9
F,15,LE3,T,4,3,services,services,father,1,2,0,1,0,0,1,1,1,4,4,4,2,4,2,0,10,10
F,16,LE3,T,4,3,teacher,services,mother,3,2,0,0,1,0,1,1,1,5,4,3,1,2,1,2,16,15
M,15,GT3,A,4,4,other,services,mother,1,4,0,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13
F,16,GT3,T,3,1,services,other,mother,1,4,0,1,1,1,0,1,1,4,3,3,1,2,5,4,7,7
F,15,LE3,T,2,2,health,services,mother,2,2,0,1,1,1,0,1,1,4,1,3,1,3,4,2,8,9
F,15,LE3,T,3,1,other,other,father,2,4,0,0,1,0,0,1,1,4,4,2,2,3,3,12,16,16
M,16,GT3,T,3,1,other,other,father,2,4,0,0,1,1,0,1,1,4,3,2,1,1,5,0,13,15
M,15,GT3,T,4,2,other,other,mother,1,4,0,0,0,0,0,1,1,3,3,3,1,1,3,0,10,10
F,15,GT3,T,1,1,other,other,mother,1,2,2,1,1,0,0,1,1,3,3,4,2,4,5,2,8,6
M,16,GT3,T,3,1,other,other,mother,1,1,0,0,0,0,1,1,0,5,3,2,2,2,5,2,12,12
F,16,GT3,T,3,3,other,services,mother,1,2,0,1,1,1,1,1,1,4,3,3,2,4,5,54,11,12
M,15,GT3,T,4,3,teacher,other,mother,1,2,0,0,1,1,1,1,1,4,3,3,2,3,5,6,9,9
M,15,GT3,T,4,0,teacher,other,mother,2,4,0,0,0,0,1,1,1,3,4,3,1,1,1,8,11,11
F,16,GT3,T,2,2,other,other,mother,1,4,0,0,0,1,0,1,1,5,2,3,1,3,3,0,11,11
M,17,GT3,T,2,1,other,other,mother,2,1,3,1,1,0,1,0,1,4,5,1,1,1,3,2,8,8
F,16,GT3,T,3,4,at_home,other,mother,1,2,0,0,1,0,0,1,1,2,4,3,1,2,3,12,5,5
M,15,GT3,T,2,3,other,services,father,1,1,0,1,1,1,1,1,1,3,2,2,1,3,3,2,10,12
M,15,GT3,T,2,3,other,other,mother,1,3,0,1,0,1,0,1,1,5,3,2,1,2,5,4,11,10
F,15,LE3,T,3,2,services,other,mother,1,2,0,0,1,1,0,1,1,4,4,4,1,1,5,10,7,6
M,15,LE3,T,2,2,services,services,mother,2,2,0,0,0,1,1,1,1,5,3,3,1,3,4,4,15,15
F,15,GT3,T,1,1,other,other,father,1,2,0,0,1,0,1,1,1,4,3,2,2,3,4,2,9,10
F,15,GT3,T,4,4,services,services,father,2,2,2,0,0,1,0,1,1,4,4,4,2,3,5,6,7,9
F,16,LE3,T,2,2,at_home,other,mother,1,2,0,0,1,0,0,1,0,4,3,4,1,2,2,4,8,7
F,15,GT3,T,4,2,other,other,mother,1,3,0,0,1,0,1,1,1,5,3,3,1,3,1,4,13,14
M,16,GT3,T,2,2,services,other,father,2,2,1,0,0,1,1,1,1,4,4,2,1,1,3,12,11,10
M,16,LE3,A,4,4,teacher,health,mother,1,2,0,0,1,0,0,1,0,4,1,3,3,5,5,18,8,6
F,16,GT3,T,3,3,other,other,mother,1,3,0,0,1,1,0,1,1,4,3,3,1,3,4,0,7,7
F,15,GT3,T,4,3,services,other,mother,1,1,0,0,0,1,1,1,1,4,5,5,1,3,1,4,16,17
F,16,LE3,T,3,1,other,other,father,1,2,0,1,1,0,0,1,0,3,3,3,2,3,2,4,7,6
F,16,GT3,T,4,2,teacher,services,mother,2,2,0,0,1,1,1,1,1,5,3,3,1,1,1,0,11,10
M,15,LE3,T,2,2,services,health,mother,1,4,0,0,1,0,1,1,1,4,3,4,1,1,4,6,11,13
F,15,GT3,T,1,1,at_home,other,mother,2,4,1,1,1,1,1,1,1,3,1,2,1,1,1,2,7,10
M,16,GT3,T,4,3,services,other,mother,2,1,0,1,1,0,1,1,1,3,3,3,1,1,4,2,11,15
F,16,GT3,T,2,1,other,other,mother,1,2,0,0,1,1,0,1,0,4,3,5,1,1,5,2,8,9
F,16,GT3,T,4,4,other,other,mother,1,1,0,0,0,0,1,1,1,5,3,4,1,2,1,6,11,14
F,16,GT3,T,4,3,other,at_home,mother,1,3,0,1,1,1,0,1,1,5,3,5,1,1,3,0,7,9
M,16,GT3,T,4,4,services,services,mother,1,1,0,1,1,1,1,1,1,4,5,5,5,5,4,14,7,7
M,16,GT3,T,4,4,services,teacher,father,1,3,0,0,1,0,1,1,1,4,4,3,1,1,4,0,16,17
M,15,GT3,T,4,4,services,other,mother,1,1,0,0,1,0,1,1,1,5,3,3,1,1,5,4,10,13
F,15,GT3,T,3,2,services,other,mother,2,2,0,1,1,1,0,1,1,4,3,5,1,1,2,26,7,6
M,15,GT3,A,3,4,services,other,mother,1,2,0,0,1,1,1,1,1,5,4,4,1,1,1,0,16,18
F,15,GT3,A,3,3,other,health,father,1,4,0,1,0,0,0,1,0,4,3,3,1,1,4,10,10,11
F,15,GT3,T,2,2,other,other,mother,1,4,0,1,1,1,0,1,1,5,1,2,1,1,3,8,7,8
M,16,GT3,T,3,3,services,other,father,1,3,0,0,1,0,1,1,1,5,3,3,1,1,5,2,16,18
M,15,GT3,T,4,4,other,other,father,4,4,0,0,1,1,1,1,1,1,3,5,3,5,1,6,10,13
F,16,LE3,T,4,4,health,health,mother,1,3,0,0,1,1,1,1,1,5,4,5,1,1,4,4,14,15
M,15,LE3,A,4,4,teacher,teacher,mother,1,1,0,0,0,0,1,1,1,5,5,3,1,1,4,6,18,19
F,16,GT3,T,3,3,services,other,father,1,3,1,1,1,0,1,1,1,4,1,2,1,1,2,0,7,10
F,16,GT3,T,2,2,at_home,other,mother,1,2,1,1,0,0,1,1,1,3,1,2,1,1,5,6,10,13
M,15,LE3,T,4,2,teacher,other,mother,1,1,0,0,0,0,0,1,1,3,5,2,1,1,3,10,18,19
M,15,GT3,T,2,1,health,services,mother,1,2,0,0,0,0,1,1,1,5,4,2,1,1,5,8,9,9
M,16,GT3,T,4,4,teacher,teacher,father,1,2,0,0,1,0,1,1,1,5,4,4,1,2,5,2,15,15
M,15,GT3,T,4,4,other,teacher,father,2,2,0,0,1,0,1,1,0,4,4,3,1,1,2,2,11,13
M,16,GT3,T,3,3,other,services,father,2,1,0,0,0,0,1,1,1,5,4,2,1,1,5,0,13,14
M,17,GT3,T,1,3,other,other,father,3,2,1,0,1,0,1,1,1,5,2,4,1,4,5,20,9,7
M,15,GT3,T,3,4,other,other,father,1,1,0,0,0,0,0,1,1,3,4,3,1,2,4,6,14,13
F,15,GT3,T,1,2,at_home,services,mother,1,2,0,0,0,0,0,1,1,3,2,3,1,2,1,2,16,15
M,15,GT3,T,2,2,services,services,father,1,4,0,0,1,1,1,1,1,5,5,4,1,2,5,6,16,14
F,16,LE3,T,2,4,other,health,father,2,2,0,0,1,1,1,1,1,4,2,2,1,2,5,2,13,13
M,16,GT3,T,4,4,health,other,mother,1,1,0,0,1,0,1,1,1,3,4,4,1,4,5,18,14,11
F,16,GT3,T,2,2,other,other,mother,1,2,0,0,0,1,0,1,1,5,4,4,1,1,5,0,8,7
M,15,GT3,T,3,4,services,services,father,1,1,0,1,0,0,0,1,1,5,5,5,3,2,5,0,13,13
F,15,LE3,A,3,4,other,other,mother,1,2,0,1,0,0,1,1,1,5,3,2,1,1,1,0,7,10
F,19,GT3,T,0,1,at_home,other,other,1,2,3,0,1,0,0,0,0,3,4,2,1,1,5,2,7,8
M,18,GT3,T,2,2,services,other,mother,1,1,2,0,1,0,1,1,1,3,3,3,1,2,4,0,7,4
M,16,GT3,T,4,4,teacher,teacher,mother,1,1,0,0,0,1,1,1,1,3,5,5,2,5,4,8,18,18
F,15,GT3,T,3,4,services,teacher,father,2,3,2,0,1,0,0,1,1,4,2,2,2,2,5,0,12,0
F,15,GT3,T,1,1,at_home,other,mother,3,1,0,0,1,0,1,1,1,4,3,3,1,2,4,0,8,0
F,17,LE3,T,2,2,other,other,father,1,1,0,0,1,0,0,1,1,3,4,4,1,3,5,12,10,13
F,16,GT3,A,3,4,services,other,father,1,1,0,0,0,0,0,1,1,3,2,1,1,4,5,16,12,11
M,15,GT3,T,3,4,at_home,teacher,mother,4,2,0,0,1,0,0,1,0,5,3,3,1,1,5,0,9,0
F,15,GT3,T,4,4,services,at_home,mother,1,3,0,0,1,0,1,1,1,4,3,3,1,1,5,0,11,0
M,17,GT3,T,3,4,at_home,other,mother,3,2,0,0,0,0,0,1,0,5,4,5,2,4,5,0,10,0
F,16,GT3,A,3,3,other,other,other,2,1,2,0,1,0,1,1,1,4,3,2,1,1,5,0,4,0
M,16,LE3,T,1,1,services,other,mother,1,2,1,0,0,0,0,1,0,4,4,4,1,3,5,0,14,12
F,15,GT3,T,4,4,teacher,teacher,mother,2,1,0,0,0,0,1,1,1,4,3,2,1,1,5,0,16,16
M,15,GT3,T,4,3,teacher,services,father,2,4,0,1,1,0,0,1,1,2,2,2,1,1,3,0,7,9
M,16,LE3,T,2,2,services,services,father,2,1,2,0,1,0,1,1,1,2,3,3,2,2,2,8,9,9
F,15,GT3,T,4,4,teacher,services,mother,1,3,0,0,1,1,1,1,1,4,2,2,1,1,5,2,9,11
F,16,LE3,T,1,1,at_home,at_home,mother,1,1,0,0,0,0,0,1,1,3,4,4,3,3,1,2,14,14
M,17,GT3,T,2,1,other,other,mother,1,1,3,0,1,0,0,1,1,5,4,5,1,2,5,0,5,0
F,15,GT3,T,1,1,other,services,father,1,2,0,0,1,1,0,1,1,4,4,2,1,2,5,0,8,11
F,15,GT3,T,3,2,health,services,father,1,2,3,0,1,0,0,1,1,3,3,2,1,1,3,0,6,7
F,15,GT3,T,1,2,at_home,other,mother,1,2,0,0,1,1,0,1,1,4,3,2,1,1,5,2,10,11
M,16,GT3,T,4,4,teacher,teacher,mother,1,1,0,0,1,0,0,0,1,3,3,2,2,1,5,0,7,6
M,15,LE3,A,2,1,services,other,mother,4,1,3,0,0,0,0,1,1,4,5,5,2,5,5,0,8,9
M,18,LE3,T,1,1,other,other,mother,1,1,3,0,0,0,0,0,1,2,3,5,2,5,4,0,6,5
M,16,LE3,T,2,1,at_home,other,mother,1,1,1,0,0,0,1,1,0,4,4,4,3,5,5,6,12,13
F,15,GT3,T,3,3,services,services,other,2,3,2,0,1,1,1,1,1,4,2,1,2,3,3,8,10,10
M,19,GT3,T,3,2,services,at_home,mother,1,1,3,0,1,0,0,0,1,4,5,4,1,1,4,0,5,0
F,17,GT3,T,4,4,other,teacher,mother,1,1,0,1,1,0,0,1,0,4,2,1,1,1,4,0,11,11
M,15,GT3,T,2,3,at_home,services,mother,1,2,0,1,0,1,1,1,0,4,4,4,1,1,1,2,11,8
M,17,LE3,T,1,2,other,other,mother,1,1,0,0,0,0,0,1,0,2,2,2,3,3,5,8,16,12
F,18,GT3,T,1,1,at_home,other,mother,3,1,3,0,1,0,1,1,0,5,2,5,1,5,4,6,9,8
M,16,GT3,T,2,2,at_home,other,mother,3,1,0,0,0,0,0,1,0,4,2,2,1,2,3,2,17,15
M,16,GT3,T,3,3,other,services,father,1,2,1,0,1,1,0,1,1,4,5,5,4,4,5,4,10,12
M,17,LE3,T,2,1,at_home,other,mother,2,1,2,0,0,0,1,0,1,3,3,2,2,2,5,0,7,6
M,15,GT3,T,3,2,other,other,mother,2,2,2,1,1,0,0,1,1,4,4,4,1,4,3,6,5,9
M,16,LE3,T,1,2,other,other,mother,2,1,1,0,0,0,1,1,0,4,4,4,2,4,5,0,7,0
M,17,GT3,T,1,3,at_home,services,father,1,1,0,0,0,0,0,0,1,5,3,3,1,4,2,2,10,10
M,17,LE3,T,1,1,other,services,mother,4,2,3,0,0,0,1,0,0,5,3,5,1,5,5,0,5,8
M,16,GT3,T,3,2,services,services,mother,2,1,1,0,1,0,1,0,0,4,5,2,1,1,2,16,12,11
M,16,GT3,T,2,2,other,other,father,1,2,0,0,0,0,0,0,1,4,3,5,2,4,4,4,10,10
F,16,GT3,T,4,2,health,services,father,1,2,0,0,0,1,0,1,1,4,2,3,1,1,3,0,14,15
F,16,GT3,T,2,2,other,other,mother,1,2,0,0,1,1,0,1,1,5,1,5,1,1,4,0,6,7
F,16,GT3,T,4,4,health,health,mother,1,2,0,0,1,1,0,1,1,4,4,2,1,1,3,0,14,14
M,16,GT3,T,3,4,other,other,father,3,1,2,0,1,0,1,1,1,3,4,5,2,4,2,0,6,5
M,16,GT3,T,1,0,other,other,mother,2,2,0,0,1,1,1,1,1,4,3,2,1,1,3,2,13,15
M,17,LE3,T,4,4,teacher,other,mother,1,2,0,0,1,1,1,1,1,4,4,4,1,3,5,0,13,11
F,16,GT3,T,1,3,at_home,services,mother,1,2,3,0,0,0,1,1,1,4,3,5,1,1,3,0,8,7
F,16,LE3,T,3,3,other,other,mother,2,2,0,0,1,1,1,1,1,4,4,5,1,1,4,4,10,11
M,17,LE3,T,4,3,teacher,other,mother,2,2,0,0,0,1,1,1,1,4,4,4,4,4,4,4,10,9
F,16,GT3,T,2,2,services,other,mother,2,2,0,0,0,1,1,1,1,3,4,4,1,4,5,2,13,13
M,17,GT3,T,3,3,other,other,father,1,2,0,0,0,0,1,1,1,4,3,4,1,4,4,4,6,5
M,16,GT3,T,4,2,teacher,services,mother,1,1,0,0,1,0,1,1,1,4,3,3,3,4,3,10,10,8
M,17,GT3,T,4,3,other,other,mother,1,2,0,0,1,0,1,1,1,5,2,3,1,1,2,4,10,10
M,16,GT3,T,4,3,teacher,other,mother,1,2,0,0,1,1,1,1,1,3,4,3,2,3,3,10,9,8
M,16,GT3,T,3,3,services,other,mother,1,2,0,0,0,1,1,1,1,4,2,3,1,2,3,2,12,13
F,17,GT3,T,2,4,services,services,father,1,2,0,0,1,0,1,1,0,5,4,2,2,3,5,0,16,17
F,17,LE3,T,3,3,other,other,mother,1,2,0,0,1,0,1,1,1,5,3,3,2,3,1,56,9,9
F,16,GT3,T,3,2,other,other,mother,1,2,0,0,1,1,0,1,1,1,2,2,1,2,1,14,12,13
M,17,GT3,T,3,3,services,services,mother,1,2,0,0,1,0,1,1,1,4,3,4,2,3,4,12,12,12
M,16,GT3,T,1,2,services,services,mother,1,1,0,0,1,1,1,1,1,3,3,3,1,2,3,2,11,12
M,16,LE3,T,2,1,other,other,mother,1,2,0,0,0,1,1,1,1,4,2,3,1,2,5,0,15,15
F,17,GT3,A,3,3,health,other,mother,1,2,0,0,1,0,0,1,1,3,3,3,1,3,3,6,8,7
M,17,GT3,T,1,2,at_home,other,mother,1,2,0,0,0,0,0,1,0,3,1,3,1,5,3,4,8,9
F,16,GT3,T,2,3,services,services,mother,1,2,0,0,0,0,0,1,1,4,3,3,1,1,2,10,11,12
F,17,GT3,T,1,1,at_home,services,mother,1,2,0,0,0,0,1,1,1,5,3,3,1,1,3,0,8,8
M,17,GT3,T,1,2,at_home,services,other,2,2,0,0,0,1,1,1,1,4,4,4,4,5,5,12,7,8
M,16,GT3,T,3,3,services,services,mother,1,1,0,0,1,0,1,1,1,4,3,2,3,4,5,8,8,9
M,16,GT3,T,2,3,other,other,father,2,1,0,0,0,0,0,1,1,5,3,3,1,1,3,0,13,14
F,17,LE3,T,2,4,services,services,father,1,2,0,0,0,0,1,1,1,4,3,2,1,1,5,0,14,15
M,17,GT3,T,4,4,services,teacher,mother,1,1,0,0,0,0,0,1,1,5,2,3,1,2,5,4,17,15
M,16,LE3,T,3,3,teacher,other,father,3,1,0,0,1,1,1,1,1,3,3,4,3,5,3,8,9,9
F,17,GT3,T,4,4,services,teacher,mother,2,1,1,0,1,0,0,1,1,4,2,4,2,3,2,24,18,18
F,16,LE3,T,4,4,teacher,teacher,mother,1,2,0,0,1,1,0,1,1,4,5,2,1,2,3,0,9,9
F,16,GT3,T,4,3,health,other,mother,1,2,0,0,1,0,1,1,1,4,3,5,1,5,2,2,16,16
F,16,GT3,T,2,3,other,other,mother,1,2,0,1,1,1,1,1,0,4,4,3,1,3,4,6,8,10
F,17,GT3,T,1,1,other,other,mother,1,2,0,0,1,1,0,1,0,4,4,4,1,3,1,4,9,9
F,17,GT3,T,2,2,other,other,mother,1,1,0,0,1,0,0,1,1,5,3,2,1,2,3,18,7,6
F,16,GT3,T,2,2,services,services,mother,2,4,0,0,1,1,1,1,1,5,3,5,1,1,5,6,10,10
F,17,GT3,T,3,4,at_home,services,mother,1,3,1,0,1,1,0,1,1,4,4,3,3,4,5,28,10,9
F,16,GT3,A,3,1,services,other,mother,1,2,3,0,1,1,0,1,1,2,3,3,2,2,4,5,7,7
F,16,GT3,T,4,3,teacher,other,mother,1,2,0,0,0,1,1,1,1,1,3,2,1,1,1,10,11,12
F,16,GT3,T,1,1,at_home,other,mother,2,1,0,0,1,1,0,1,0,4,3,2,1,4,5,6,9,9
F,17,GT3,T,4,3,teacher,other,mother,2,3,0,0,1,1,1,1,1,4,4,2,1,1,4,6,7,7
F,19,GT3,T,3,3,other,other,other,1,4,0,0,1,1,1,1,1,4,3,3,1,2,3,10,8,8
M,17,LE3,T,4,4,services,other,mother,1,2,0,0,1,1,0,1,1,5,3,5,4,5,3,13,12,12
F,16,GT3,A,2,2,other,other,mother,1,2,0,1,1,1,0,1,1,3,3,4,1,1,4,0,12,13
M,18,GT3,T,2,2,services,other,mother,1,2,1,0,1,1,1,1,1,4,4,4,2,4,5,15,6,7
F,17,LE3,T,4,4,services,other,mother,1,1,0,0,1,1,0,1,0,5,2,1,1,2,3,12,8,10
F,17,LE3,T,3,2,other,other,mother,2,2,0,0,0,1,0,1,1,4,4,4,1,3,1,2,14,15
F,17,GT3,T,4,3,other,other,mother,1,2,2,0,0,1,0,1,1,3,4,5,2,4,1,22,6,6
M,18,LE3,T,3,3,services,health,father,1,2,1,0,1,1,0,1,1,3,2,4,2,4,4,13,6,6
F,17,GT3,T,2,3,at_home,other,father,2,1,0,0,1,1,0,1,0,3,3,3,1,4,3,3,7,7
F,17,GT3,T,2,2,at_home,at_home,mother,1,3,0,0,1,1,1,1,1,4,3,3,1,1,4,4,9,10
F,17,GT3,T,2,1,at_home,services,mother,2,2,0,0,1,0,1,1,1,4,2,5,1,2,5,2,6,6
F,17,GT3,T,1,1,at_home,other,mother,1,3,1,0,1,0,1,1,0,4,3,4,1,1,5,0,6,5
F,16,GT3,T,2,3,services,teacher,mother,1,2,0,1,0,0,0,1,1,2,3,1,1,1,3,2,16,16
M,18,GT3,T,2,2,other,other,mother,2,2,0,0,1,1,0,1,1,3,3,3,5,5,4,0,12,13
F,16,GT3,T,4,4,teacher,services,mother,1,3,0,0,1,0,1,1,1,5,3,2,1,1,5,0,13,13
F,18,GT3,T,3,1,other,other,mother,1,2,1,0,0,0,1,1,1,5,3,3,1,1,4,16,9,8
F,17,GT3,T,3,2,other,other,mother,1,2,0,0,0,0,1,1,1,5,3,4,1,3,3,10,16,15
M,17,LE3,T,2,3,services,services,father,1,2,0,0,1,1,0,1,1,5,3,3,1,3,3,2,12,11
M,18,LE3,T,2,1,at_home,other,mother,4,2,0,1,1,1,1,1,1,4,3,2,4,5,3,14,10,8
F,17,GT3,A,2,1,other,other,mother,2,3,0,0,0,0,1,1,1,3,2,3,1,2,3,10,12,10
F,17,LE3,T,4,3,health,other,father,1,2,0,0,0,0,1,1,1,3,2,3,1,2,3,14,13,13
M,17,GT3,T,2,2,other,other,father,2,2,0,0,1,1,1,1,1,4,5,2,1,1,1,4,11,11
M,17,GT3,T,4,4,teacher,teacher,mother,1,2,0,1,1,0,1,1,1,4,5,5,1,3,2,14,11,9
M,16,GT3,T,4,4,health,other,father,1,2,0,0,1,1,1,1,1,4,2,4,2,4,1,2,14,13
M,16,LE3,T,1,1,other,other,mother,2,2,0,0,1,1,0,1,1,3,4,2,1,1,5,18,9,7
M,16,GT3,T,3,2,at_home,other,mother,2,3,0,0,0,0,1,1,1,5,3,3,1,3,2,10,11,9
M,17,LE3,T,2,2,other,other,father,1,2,0,0,0,1,1,1,1,4,4,2,5,5,4,4,14,13
F,16,GT3,T,2,1,other,other,mother,1,1,0,0,0,0,0,1,1,4,5,2,1,1,5,20,13,12
F,17,GT3,T,2,1,at_home,services,mother,3,2,0,0,0,0,1,1,0,2,1,1,1,1,3,2,13,11
